open,high,low,close,volume,date
,,,,,2018-01-01 00:00:00
13527.84116650426,13595.259915405471,13153.294539544244,13203.699293819724,384.9408918,2018-01-01 01:00:00
13203.567249637566,13419.33179281037,13199.152380308165,13331.250913696776,429.88840325,2018-01-01 02:00:00
13332.298877971743,13612.086569018295,13288.73858725134,13408.246492864371,421.92226491,2018-01-01 03:00:00
13432.589136627335,13621.198504370386,13318.180709498876,13596.151799100373,342.69092637,2018-01-01 04:00:00
13613.108211370589,13697.367713929516,13524.13280642992,13556.770136116129,405.41478710999996,2018-01-01 05:00:00
13536.641775839284,13797.540979244835,13506.452229138744,13776.024607394816,266.84597493,2018-01-01 06:00:00
13779.593884236843,13818.096938977053,13554.526776418326,13570.02077429353,292.54503128,2018-01-01 07:00:00
13570.18819932551,13735.345629543419,13399.836890763889,13499.663797843596,272.25763035,2018-01-01 08:00:00
13499.462044029304,13670.812851513867,13458.705834987633,13616.184794368219,213.6385052,2018-01-01 09:00:00
13631.8458538912,13658.068611704019,13497.88807877524,13570.199427922165,169.59093631,2018-01-01 10:00:00
13572.23809350552,13590.588023512299,13001.26638963511,13222.288774155544,667.19640896,2018-01-01 11:00:00
13220.428084995629,13299.820356229244,13056.026267592946,13172.317008243535,260.64931009,2018-01-01 12:00:00
13148.5915718803,13202.564695014049,12814.636447982179,13017.690618159704,453.42866789,2018-01-01 13:00:00
12998.597294757306,13244.315189782774,12749.482152213559,13209.587743337308,694.40042094,2018-01-01 14:00:00
13209.195387049918,13329.633899590872,13118.493894412417,13246.915254508873,428.52457745,2018-01-01 15:00:00
13245.826810623215,13246.960876107609,12966.579496758834,13017.914504422291,369.14692329,2018-01-01 16:00:00
13018.170160919537,13199.073264349192,13000.0,13022.810290007954,229.50184335,2018-01-01 17:00:00
13009.134824804241,13259.491649802218,12940.360315312786,13137.746665852093,245.81875929,2018-01-01 18:00:00
13135.363145561652,13291.49321769042,13107.062022303471,13241.309401158545,252.7962802,2018-01-01 19:00:00
13222.144484403902,13472.04973308217,13222.1242441951,13399.290461732,412.26527758,2018-01-01 20:00:00
13399.905556440945,13582.14037605307,13380.288243172132,13483.148491109423,329.12960143,2018-01-01 21:00:00
13495.45321763436,13604.333860380919,13448.846764308202,13451.885056844843,305.87705567,2018-01-01 22:00:00
13455.185105275292,13501.300035676457,13353.859435957942,13380.672410952755,346.34414436000003,2018-01-01 23:00:00
13382.923849183895,13850.544727089478,13382.304912338524,13750.009962689923,468.34350718,2018-01-02 00:00:00
13769.923118479754,13800.554865274386,13589.518870026792,13600.566537664114,518.9393052099999,2018-01-02 01:00:00
13610.75309099714,13679.073820272708,13395.546693640916,13520.323368518415,718.9665528999999,2018-01-02 02:00:00
13520.073315751195,13540.270015203922,13231.700282868713,13353.498092258924,667.6876915,2018-01-02 03:00:00
13354.898751964138,13481.548178843592,12890.375381959684,13126.908313044114,995.63615858,2018-01-02 04:00:00
13129.825169159796,13245.706289425601,13090.278160830594,13167.987389489925,602.80631979,2018-01-02 05:00:00
13168.195394565046,13341.168879612613,13041.553043015609,13258.95052149846,726.36568114,2018-01-02 06:00:00
13258.947923709695,13363.415134902296,13150.27592750362,13343.84942386078,669.20500856,2018-01-02 07:00:00
13343.55267398707,13442.6271241961,13303.225729501859,13327.545685292918,748.23010169,2018-01-02 08:00:00
13344.471029185042,13525.972169363142,13326.695607077603,13454.773805872854,513.44934135,2018-01-02 09:00:00
13461.367071119177,13618.357969726505,13401.76124690796,13561.131420912337,655.6675059,2018-01-02 10:00:00
13566.289038034914,13574.43454137836,13401.288769531693,13490.02722089907,686.41012006,2018-01-02 11:00:00
13490.308032467925,13590.24642597434,13450.318697106077,13489.073491530151,673.0907959000001,2018-01-02 12:00:00
13488.93250391011,13875.028974680057,13470.204267647368,13865.021071612005,1038.0895933900001,2018-01-02 13:00:00
13864.67882767444,13894.853654278244,13629.539689294415,13664.131375822997,706.34192969,2018-01-02 14:00:00
13661.239682842785,13739.856202380775,13509.991931817234,13690.036430339245,953.42574932,2018-01-02 15:00:00
13690.022383170095,13842.836732604881,13585.023749642412,13590.052247468517,1021.16171878,2018-01-02 16:00:00
13600.283506589603,13799.345592849368,13502.841283040005,13779.16149530569,819.95659591,2018-01-02 17:00:00
13789.780313069845,14749.293305954927,13755.300073867722,14579.636557348247,1576.78728195,2018-01-02 18:00:00
14576.32486997915,15472.853084777327,14479.585174690166,14733.1094914217,1680.5726948899999,2018-01-02 19:00:00
14709.161543027878,15162.311608402431,14708.070699491618,14752.009612757862,1155.25057999,2018-01-02 20:00:00
14749.590970933288,14945.138346315869,14542.505824924394,14692.709272267486,909.3414595,2018-01-02 21:00:00
14698.543796055279,15026.789139459599,14683.600438143267,14800.109478712935,860.86389137,2018-01-02 22:00:00
14800.106215681204,14886.305567332023,14591.114096007293,14669.097797358536,772.42481363,2018-01-02 23:00:00
14682.089697337986,14933.299461325696,14645.41537949163,14764.9570383486,669.74658189,2018-01-03 00:00:00
14758.050989935977,14853.400682903157,14659.358139323536,14819.251162544128,789.72555227,2018-01-03 01:00:00
14847.822696315283,15120.350644659366,14744.368377045043,15008.722146427684,824.34420311,2018-01-03 02:00:00
15008.093548191582,15299.864633351486,14749.85250114961,14818.6238625816,1031.94966495,2018-01-03 03:00:00
14806.269693643428,15117.366429019032,14793.190535593474,15019.708267957347,782.97545917,2018-01-03 04:00:00
15030.805487586707,15114.895284565777,14899.152619690814,14987.222669795337,861.35637224,2018-01-03 05:00:00
14980.049146618217,15275.838395319768,14857.320895158444,15241.527661953474,909.81125174,2018-01-03 06:00:00
15242.353017776742,15307.660677715226,15130.05645764794,15169.76042537111,662.5435498,2018-01-03 07:00:00
15169.644024361736,15172.627763380546,14898.743615394373,15001.118794568647,897.81475907,2018-01-03 08:00:00
15002.220636834098,15047.538270616997,14439.715232979644,14519.847636830322,1244.43602127,2018-01-03 09:00:00
14500.906682407736,14854.709251790633,14149.531966299393,14454.648609641155,1272.8392654900001,2018-01-03 10:00:00
